Ensayos,Fecha,Condición,LíneaCelular,Genotipo,SI/NO,0,60,150
Kill Curve,19.8.2019,FA,HCT116,WT,NO,157321,138593,19343
Kill Curve,19.8.2019,FA,HCT116,WT,NO,159795,145894,22574
Kill Curve,19.8.2019,FA,HCT116,WT,NO,158276,136745,27362
Kill Curve,19.8.2019,FA,HCT116,ADH5,NO,88719,12536,9679
Kill Curve,19.8.2019,FA,HCT116,ADH5,NO,89397,10467,9426
Kill Curve,19.8.2019,FA,HCT116,ADH5,NO,78614,10102,9646
Kill Curve,19.8.2019,FA + EtGSH,HCT116,WT,NO,136354,141536,126818
Kill Curve,19.8.2019,FA + EtGSH,HCT116,WT,NO,133099,128151,129061
Kill Curve,19.8.2019,FA + EtGSH,HCT116,WT,NO,127650,126890,111198
Kill Curve,19.8.2019,FA + EtGSH,HCT116,ADH5,NO,62080,60352,31982
Kill Curve,19.8.2019,FA + EtGSH,HCT116,ADH5,NO,67189,59611,28962
Kill Curve,19.8.2019,FA + EtGSH,HCT116,ADH5,NO,63775,59041,31296
Kill Curve,19.8.2019,NAC,HCT116,WT,NO,159236,153406,156536
Kill Curve,19.8.2019,NAC,HCT116,WT,NO,158510,154260,153118
Kill Curve,19.8.2019,NAC,HCT116,WT,NO,161201,149719,150653
Kill Curve,19.8.2019,NAC,HCT116,ADH5,NO,83524,79797,70628
Kill Curve,19.8.2019,NAC,HCT116,ADH5,NO,88238,77946,66632
Kill Curve,19.8.2019,NAC,HCT116,ADH5,NO,72951,70959,64051
Kill Curve,19.8.2019,TROLOX,HCT116,WT,NO,158904,145663,15319
Kill Curve,19.8.2019,TROLOX,HCT116,WT,NO,152491,149748,9117
Kill Curve,19.8.2019,TROLOX,HCT116,WT,NO,153912,128984,8882
Kill Curve,19.8.2019,TROLOX,HCT116,ADH5,NO,76219,6258,8758
Kill Curve,19.8.2019,TROLOX,HCT116,ADH5,NO,78498,6213,9369
Kill Curve,19.8.2019,TROLOX,HCT116,ADH5,NO,64346,6404,8818
Kill Curve,19.8.2019,FA,HCT116,ADH5,NO,76760,7310,10551
Kill Curve,19.8.2019,FA,HCT116,ADH5,NO,76223,7482,9725
Kill Curve,19.8.2019,FA,HCT116,ADH5 pADH5 c3,NO,32773,18480,11837
Kill Curve,19.8.2019,FA,HCT116,ADH5 pADH5 c3,NO,33078,17256,11671
Kill Curve,19.8.2019,FA,HCT116,ADH5 pADH5 c13,NO,88549,56828,20804
Kill Curve,19.8.2019,FA,HCT116,ADH5 pADH5 c13,NO,68181,44587,17783
Kill Curve,19.8.2019,Blanco,,-,NO,5657,5301,5164
