Ensayos,Fecha,Condición,LíneaCelular,Genotipo,SI/NO,0,60,150
Kill Curve,16.9.2019,FA,HCT116,WT,SI,116204,134672,104287
Kill Curve,16.9.2019,FA,HCT116,WT,SI,118176,129820,111534
Kill Curve,16.9.2019,FA,HCT116,WT,SI,122936,139930,116223
Kill Curve,16.9.2019,FA,HCT116,ADH5,SI,106954,95181,46860
Kill Curve,16.9.2019,FA,HCT116,ADH5,SI,104005,89744,45707
Kill Curve,16.9.2019,FA,HCT116,ADH5,SI,100777,86574,33898
Kill Curve,16.9.2019,FA + EtGSH,HCT116,WT,SI,140873,144640,145138
Kill Curve,16.9.2019,FA + EtGSH,HCT116,WT,SI,143431,152720,147138
Kill Curve,16.9.2019,FA + EtGSH,HCT116,WT,SI,134297,144069,140956
Kill Curve,16.9.2019,FA + EtGSH,HCT116,ADH5,SI,124871,120477,109177
Kill Curve,16.9.2019,FA + EtGSH,HCT116,ADH5,SI,117760,115549,100853
Kill Curve,16.9.2019,FA + EtGSH,HCT116,ADH5,SI,109604,111374,102276
Kill Curve,16.9.2019,NAC,HCT116,WT,SI,132549,124884,112652
Kill Curve,16.9.2019,NAC,HCT116,WT,SI,132597,127165,118260
Kill Curve,16.9.2019,NAC,HCT116,WT,SI,129008,132889,115165
Kill Curve,16.9.2019,NAC,HCT116,ADH5,SI,111580,108386,98260
Kill Curve,16.9.2019,NAC,HCT116,ADH5,SI,103711,107826,92165
Kill Curve,16.9.2019,NAC,HCT116,ADH5,SI,106282,108036,95100
Kill Curve,16.9.2019,TROLOX,HCT116,WT,SI,136648,125437,104106
Kill Curve,16.9.2019,TROLOX,HCT116,WT,SI,136402,133556,108842
Kill Curve,16.9.2019,TROLOX,HCT116,WT,SI,127300,122575,104581
Kill Curve,16.9.2019,TROLOX,HCT116,ADH5,SI,113742,79303,44665
Kill Curve,16.9.2019,TROLOX,HCT116,ADH5,SI,107301,76094,55591
Kill Curve,16.9.2019,TROLOX,HCT116,ADH5,SI,92869,65962,28941
Kill Curve,16.9.2019,FA + BSO,HCT116,WT,SI,114702,114641,95934
Kill Curve,16.9.2019,FA + BSO,HCT116,WT,SI,132892,127000,98202
Kill Curve,16.9.2019,FA + BSO,HCT116,WT,SI,133158,125166,108628
Kill Curve,16.9.2019,FA + BSO,HCT116,ADH5,SI,109854,84459,43999
Kill Curve,16.9.2019,FA + BSO,HCT116,ADH5,SI,102588,88228,35022
Kill Curve,16.9.2019,FA + BSO,HCT116,ADH5,SI,100099,69962,29979
Kill Curve,16.9.2019,FA + BSO + NAC,HCT116,WT,SI,115459,127299,
Kill Curve,16.9.2019,FA + BSO + NAC,HCT116,WT,SI,129286,125509,117980
Kill Curve,16.9.2019,FA + BSO + NAC,HCT116,WT,SI,132176,137534,127140
Kill Curve,16.9.2019,FA + BSO + NAC,HCT116,ADH5,SI,110929,113587,102148
Kill Curve,16.9.2019,FA + BSO + NAC,HCT116,ADH5,SI,108098,114112,78083
Kill Curve,16.9.2019,FA + BSO + NAC,HCT116,ADH5,SI,103752,103876,82811
Kill Curve,16.9.2019,Blanco,,-,SI,7510,6885,7224
Kill Curve,16.9.2019,Blanco,,-,SI,6978,6806,6828
