Ensayos,Fecha,Condición,LíneaCelular,Genotipo,SI/NO ,0,15,30,60,90,120,150,180,210
Kill Curve,6.9.2019,FA,HCT116,WT,NO,191223,188514,191274,169506,114174,33933,12764,14426,11394
Kill Curve,6.9.2019,FA,HCT116,WT,NO,193478,191029,189248,169122,109181,27236,12313,12055,11463
Kill Curve,6.9.2019,FA,HCT116,WT,NO,189927,188858,187526,180027,106731,25721,12483,11461,11262
Kill Curve,6.9.2019,FA,HCT116,ADH5,NO,123742,97921,88861,60119,45599,38033,30146,18101,10335
Kill Curve,6.9.2019,FA,HCT116,ADH5,NO,116405,97323,79828,53508,38476,39705,26352,19662,11145
Kill Curve,6.9.2019,FA,HCT116,ADH5,NO,108115,86183,78472,46337,47062,79039,40787,26918,20632
Kill Curve,6.9.2019,FA,HCT116,GCLM SKO,NO,176032,181346,185692,171059,144432,90940,52759,41658,20550
Kill Curve,6.9.2019,FA,HCT116,GCLM SKO,NO,189059,189547,186797,179735,165182,115015,73401,55647,22548
Kill Curve,6.9.2019,FA,HCT116,GCLM SKO,NO,187330,187148,184652,172664,160009,115475,70763,52888,22839
Kill Curve,6.9.2019,FA,HCT116,GCLM ADH5 DKO,NO,184617,180737,163825,137573,107015,78115,52957,35294,15938
Kill Curve,6.9.2019,FA,HCT116,GCLM ADH5 DKO,NO,178520,176712,158557,121420,97657,77360,53954,35589,15595
Kill Curve,6.9.2019,FA,HCT116,GCLM ADH5 DKO,NO,170378,163889,150670,114576,92073,75135,47107,34953,17300
Kill Curve,6.9.2019,Blanco,,-,NO,6529,6322,6370,6439,6587,6465,6420,6513,6546
