Ensayos,Fecha,Condición,LíneaCelular,Genotipo,SI/NO,0,15,30,60,90,120,150,180,210
Kill Curve,27.9.2019,FA,HCT116,WT,SI,193251,206185,197749,198848,200573,201397,165884,117980,91258
Kill Curve,27.9.2019,FA,HCT116,WT,SI,200747,193525,193725,193703,194203,187749,158205,132109,83457
Kill Curve,27.9.2019,FA,HCT116,WT,SI,200268,193277,192968,189079,184582,170558,147240,113755,77014
Kill Curve,27.9.2019,FA,HCT116,ADH5,SI,181705,173176,168468,150864,77355,59037,71132,56739,46661
Kill Curve,27.9.2019,FA,HCT116,ADH5,SI,176206,168827,164033,146567,131983,69885,68769,53651,46160
Kill Curve,27.9.2019,FA,HCT116,ADH5,SI,168324,166850,154357,136343,85818,54847,52493,44292,44908
Kill Curve,27.9.2019,FA,HCT116,GCLM SKO,SI,187746,191254,182445,181413,176428,153711,118187,75030,39266
Kill Curve,27.9.2019,FA,HCT116,GCLM SKO,SI,191610,186304,184044,183226,168787,157280,134635,77453,46106
Kill Curve,27.9.2019,FA,HCT116,GCLM SKO,SI,190881,184942,181457,174721,168197,156968,117832,81353,48034
Kill Curve,27.9.2019,FA,HCT116,GCLM ADH5 DKO,SI,178385,172191,164458,143199,111718,77919,72914,50181,38958
Kill Curve,27.9.2019,FA,HCT116,GCLM ADH5 DKO,SI,175000,169159,163164,140672,101846,80059,68291,50393,39061
Kill Curve,27.9.2019,FA,HCT116,GCLM ADH5 DKO,SI,165782,163316,158727,133823,88093,63331,62346,48535,32530
Kill Curve,27.9.2019,Blanco,,-,SI,8125,8290,8053,7967,7905,7663,7739,8038,7954
